Item,Category,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Pred
American Cheese (slice),Additional Options,40,30,3.5,2.0,0.0,10,180,1.0,0.0,0.0,2.0,4.0
Ketchup (Packet),Additional Options,10,0,0.0,0.0,0.0,0,125,3.0,0.0,2.0,0.0,3.0
Mayonnaise (Packet),Additional Options,80,80,9.0,0.5,0.0,10,75,1.0,0.0,0.0,0.0,7.0
Strawberry or Grape Jam (packet),Additional Options,25,0,0.0,0.0,0.0,0,0,7.0,0.0,6.0,0.0,8.0
Breakfast Syrup- 1 oz,Additional Options,90,0,0.0,0.0,0.0,0,25,24.0,0.0,17.0,0.0,6.0
Barbecue Dipping Sauce- 1 oz,Additional Options,50,0,0.0,0.0,0.0,0,310,12.0,0.0,11.0,0.0,0.0
Ranch Dipping Sauce- 1 oz,Additional Options,140,130,14.0,2.5,0.0,10,200,1.0,0.0,0.5,0.5,1.0
Buffalo Dipping Sauce- 1 oz,Additional Options,80,70,8.0,1.5,0.0,10,370,2.0,0.0,1.0,0.0,5.0
Zesty Onion Ring Dipping Sauce- 1 oz,Additional Options,150,140,16.0,2.5,0.0,15,230,3.0,0.0,1.0,0.0,9.0
Honey Mustard Dipping Sauce- 1oz,Additional Options,90,60,6.0,1.0,0.0,10,170,8.0,0.0,8.0,0.0,2.0
Fat FREE Milk- 8 fl oz,Beverage,90,0,0.0,0.0,0.0,5,125,13.0,0.0,12.0,9.0,4.0
1% Low Fat Chocolate Milk- 8 fl oz,Beverage,160,25,3.0,1.5,0.0,15,150,26.0,0.0,25.0,8.0,1.0
Capri Sun100% Apple Juice- 6 fl oz,Beverage,80,0,0.0,0.0,0.0,0,25,20.0,0.0,20.0,0.0,9.0
Coca Cola- 16 fl oz,Beverage,200,0,0.0,0.0,0.0,0,50,58.0,0.0,58.0,0.0,8.0
Coca Cola- 20 fl oz,Beverage,240,0,0.0,0.0,0.0,0,60,73.0,0.0,73.0,0.0,8.0
Coca Cola- 29 fl oz,Beverage,350,0,0.0,0.0,0.0,0,85,105.0,0.0,105.0,0.0,0.0
Coca Cola- 38 fl oz,Beverage,460,0,0.0,0.0,0.0,0,115,138.0,0.0,138.0,0.0,7.0
Diet Coke-16 fl oz,Beverage,0,0,0.0,0.0,0.0,0,70,0.0,0.0,0.0,0.0,3.0
Diet Coke-20 fl oz,Beverage,0,0,0.0,0.0,0.0,0,85,0.5,0.0,0.0,0.0,3.0
Diet Coke-29 fl oz,Beverage,0,0,0.0,0.0,0.0,0,120,0.5,0.0,0.0,0.0,3.0
Diet Coke-38 fl oz,Beverage,0,0,0.0,0.0,0.0,0,160,0.5,0.0,0.0,0.0,3.0
Sprite- 16 fl oz,Beverage,180,0,0.0,0.0,0.0,0,95,56.0,0.0,56.0,0.0,2.0
Sprite- 20 fl oz,Beverage,230,0,0.0,0.0,0.0,0,120,70.0,0.0,70.0,0.0,2.0
Sprite- 29 fl oz,Beverage,330,0,0.0,0.0,0.0,0,170,102.0,0.0,102.0,0.0,0.0
Sprite- 38 fl oz,Beverage,440,0,0.0,0.0,0.0,0,230,133.0,0.0,133.0,0.0,6.0
Dr. Pepper- 16 fl oz,Beverage,190,0,0.0,0.0,0.0,0,60,52.0,0.0,51.0,0.0,8.0
Dr. Pepper- 20 fl oz,Beverage,240,0,0.0,0.0,0.0,0,75,65.0,0.0,64.0,0.0,8.0
Dr. Pepper- 29 fl oz,Beverage,350,0,0.0,0.0,0.0,0,105,94.0,0.0,93.0,0.0,0.0
Dr. Pepper- 38 fl oz,Beverage,450,0,0.0,0.0,0.0,0,140,124.0,0.0,121.0,0.0,7.0
Bara's Root Beer- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,100,65.0,0.0,65.0,0.0,2.0
Bara's Root Beer- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,120,81.0,0.0,81.0,0.0,2.0
Bara's Root Beer- 29 fl oz,Beverage,380,0,0.0,0.0,0.0,0,180,118.0,0.0,118.0,0.0,6.0
Bara's Root Beer- 38 fl oz,Beverage,500,0,0.0,0.0,0.0,0,230,155.0,0.0,155.0,0.0,6.0
Cherry Coke- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,55,61.0,0.0,61.0,0.0,8.0
Cherry Coke- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,70,76.0,0.0,76.0,0.0,8.0
Cherry Coke- 29 fl oz,Beverage,380,0,0.0,0.0,0.0,0,100,110.0,0.0,110.0,0.0,0.0
Cherry Coke- 38 fl oz,Beverage,490,0,0.0,0.0,0.0,0,130,145.0,0.0,145.0,0.0,7.0
Fanta Orange- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,60,62.0,0.0,61.0,0.0,8.0
Fanta Orange- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,70,78.0,0.0,77.0,0.0,8.0
Fanta Orange- 29 fl oz,Beverage,370,0,0.0,0.0,0.0,0,105,113.0,0.0,111.0,0.0,0.0
Fanta Orange- 38 fl oz,Beverage,490,0,0.0,0.0,0.0,0,135,148.0,0.0,146.0,0.0,7.0
Fruit Punch- 16 fl oz,Beverage,220,0,0.0,0.0,0.0,0,75,62.0,0.0,60.0,0.0,8.0
Fruit Punch- 20 fl oz,Beverage,280,0,0.0,0.0,0.0,0,95,77.0,0.0,75.0,0.0,2.0
Fruit Punch- 29 fl oz,Beverage,410,0,0.0,0.0,0.0,0,135,111.0,0.0,109.0,0.0,0.0
Fruit Punch- 38 fl oz,Beverage,530,0,0.0,0.0,0.0,0,180,146.0,0.0,143.0,0.0,7.0
MINUTE MAID Lemonade- 16 fl oz,Beverage,210,0,0.0,0.0,0.0,0,90,54.0,0.0,54.0,0.0,2.0
MINUTE MAID Lemonade- 20 fl oz,Beverage,260,0,0.0,0.0,0.0,0,115,68.0,0.0,67.0,0.0,2.0
MINUTE MAID Lemonade- 29 fl oz,Beverage,380,0,0.0,0.0,0.0,0,170,99.0,0.0,98.0,0.0,0.0
MINUTE MAID Lemonade- 38 fl oz,Beverage,500,0,0.0,0.0,0.0,0,220,129.0,0.0,128.0,0.0,6.0
Sweet Tea- 20 fl oz,Beverage,120,0,0.0,0.0,0.0,0,0,35.0,0.0,35.0,0.0,9.0
Sweet Tea- 29 fl oz,Beverage,160,0,0.0,0.0,0.0,0,0,49.0,0.0,49.0,0.0,9.0
Sweet Tea- 40 fl oz,Beverage,240,0,0.0,0.0,0.0,0,0,71.0,0.0,71.0,0.0,8.0
Unsweetened Tea-20 fl oz,Beverage,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0
Unsweetened Tea-29 fl oz,Beverage,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0
Unsweetened Tea-40 fl oz,Beverage,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0
Simply Orange Juice¨- 11.5 oz.,Beverage,160,0,0.0,0.0,0.0,0,0,37.0,0.0,33.0,2.0,9.0
Frozen Coke¨- 16 oz,Beverage,130,0,0.0,0.0,0.0,0,50,35.0,0.0,35.0,0.0,9.0
BK Cafe Coffee- 12 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Coffee- 16 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Coffee- 20 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Decaf Coffee- 12 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Decaf Coffee- 16 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Decaf Coffee- 20 fl oz,BK Cafe,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
BK Cafe Iced Vanilla Coffee- 12 fl oz,BK Cafe,150,70,8.0,4.0,0.0,25,30,21.0,0.0,21.0,1.0,0.0
BK Cafe Iced Vanilla Coffee- 16 fl oz,BK Cafe,200,90,10.0,5.0,0.0,30,40,27.0,0.0,27.0,2.0,5.0
BK Cafe Iced Vanilla Coffee- 20 fl oz,BK Cafe,260,110,13.0,7.0,0.0,40,50,34.0,0.0,34.0,2.0,4.0
BK Cafe Iced Mocha Coffee- 12 fl oz,BK Cafe,180,70,8.0,4.0,0.0,25,40,27.0,1.0,25.0,2.0,6.0
BK Cafe Iced Mocha Coffee- 16 fl oz,BK Cafe,240,90,10.0,6.0,0.0,30,55,35.0,1.0,32.0,2.0,2.0
BK Cafe Iced Mocha Coffee- 20 fl oz,BK Cafe,300,120,13.0,7.0,0.0,40,70,45.0,2.0,41.0,3.0,3.0
CROISSAN'WICH Egg & Cheese,Breakfast,330,160,18.0,9.0,1.0,240,660,30.0,0.5,4.0,13.0,1.0
"CROISSAN'WICH Sausage, Egg & Cheese",Breakfast,510,310,34.0,15.0,1.0,275,1030,30.0,0.5,4.0,20.0,1.0
"CROISSAN'WICH Ham, Egg & Cheese",Breakfast,370,170,19.0,9.0,1.0,255,1060,31.0,0.5,5.0,19.0,1.0
"CROISSAN'WICH Bacon, Egg & Cheese",Breakfast,370,190,21.0,10.0,1.0,250,820,30.0,0.5,4.0,16.0,1.0
Fully Loaded CROISSAN'WICH,Breakfast,630,370,42.0,18.0,1.0,310,1810,32.0,0.5,5.0,31.0,2.0
Double CROISSAN'WICH with Sausage & Bacon,Breakfast,590,370,41.0,18.0,1.0,295,1410,31.0,0.5,5.0,25.0,2.0
Double CROISSAN'WICH with Sausage,Breakfast,720,480,54.0,23.0,1.0,320,1620,31.0,0.5,4.0,29.0,2.0
DoubleCROISSAN'WICH with Ham & Sausage,Breakfast,580,350,38.0,17.0,1.0,300,1650,32.0,0.5,5.0,28.0,2.0
Fully Loaded Biscuit,Breakfast,640,400,45.0,20.0,0.0,225,2190,31.0,1.0,4.0,28.0,2.0
"Ham, Egg, & Cheese Biscuit",Breakfast,410,210,23.0,11.0,1.0,235,1610,33.0,1.0,3.0,19.0,1.0
"Sausage, Egg, & Cheese Biscuit",Breakfast,550,350,39.0,17.0,1.0,250,1580,32.0,1.0,3.0,20.0,2.0
"Bacon, Egg & Cheese Biscuit",Breakfast,410,230,26.0,12.0,1.0,225,1370,32.0,1.0,3.0,15.0,1.0
Sausage Biscuit,Breakfast,430,270,30.0,13.0,0.0,35,1150,30.0,1.0,2.0,11.0,9.0
Breakfast Burrito Jr.,Breakfast,420,240,26.0,9.0,1.0,235,1080,29.0,2.0,2.0,16.0,1.0
EGG-NORMOUS BURRITO,Breakfast,810,400,44.0,16.0,1.5,445,2020,69.0,4.0,4.0,34.0,7.0
BK Ultimate Breakfast Platter,Breakfast,970,430,48.0,12.0,1.5,470,2100,110.0,4.0,36.0,26.0,6.0
NY Ultimate Platter (Regional menu item),Breakfast,900,420,46.0,12.0,0.0,380,1760,95.0,5.0,31.0,25.0,3.0
Pancake and Sausage platter,Breakfast,620,260,29.0,9.0,0.0,75,1080,79.0,1.0,36.0,13.0,0.0
Hash Browns- small,Breakfast,290,170,19.0,3.5,0.0,0,840,29.0,2.0,0.0,2.0,5.0
Hash Browns- medium,Breakfast,540,310,34.0,7.0,0.0,0,1480,54.0,5.0,0.0,4.0,4.0
Hash Browns- large,Breakfast,740,430,48.0,9.0,0.0,0,2040,75.0,6.0,0.5,6.0,4.0
French Toast Sticks (3 piece) w/o Syrup,Breakfast,230,90,10.0,2.0,0.0,0,220,32.0,2.0,9.0,4.0,5.0
French Toast Sticks (5 piece) w/o Syrup,Breakfast,380,140,16.0,3.5,0.0,0,400,77.0,3.0,33.0,6.0,8.0
WHOPPER Sandwich,Burgers,670,350,39.0,12.0,0.0,85,1170,54.0,3.0,13.0,31.0,1.0
WHOPPER Sandwich with Cheese,Burgers,760,420,46.0,16.0,0.5,105,1600,56.0,3.0,14.0,36.0,7.0
Bacon & Cheese WHOPPER Sandwich,Burgers,820,460,51.0,18.0,0.5,115,1850,56.0,3.0,14.0,40.0,7.0
DOUBLE WHOPPER Sandwich,Burgers,920,520,58.0,20.0,0.5,150,1240,54.0,3.0,13.0,52.0,4.0
DOUBLE WHOPPER Sandwich with Cheese,Burgers,1010,590,65.0,24.0,1.0,175,1670,56.0,3.0,14.0,56.0,8.0
WHOPPER JR. Sandwich,Burgers,330,170,18.0,5.0,0.0,35,560,30.0,2.0,7.0,15.0,2.0
Triple WHOPPER Sandwich with Cheese,Burgers,1220,740,82.0,32.0,4.5,280,1470,50.0,2.0,11.0,71.0,0.0
BACON KingTM Sandwich,Burgers,1200,730,81.0,32.0,1.0,215,2270,55.0,2.0,14.0,66.0,3.0
RODEO KingTM Sandwich,Burgers,1300,740,83.0,31.0,1.0,205,2260,77.0,4.0,18.0,63.0,6.0
Single Quarter Pound King Sandwich,Burgers,930,490,54.0,25.0,1.0,175,2100,56.0,3.0,13.0,57.0,8.0
Double Quarter Pound King Sandwich,Burgers,740,380,43.0,16.0,0.5,110,1440,53.0,2.0,13.0,37.0,1.0
Single Stacker King,Burgers,1130,660,73.0,31.0,1.0,210,2180,55.0,2.0,14.0,65.0,3.0
Double Stacker King,Burgers,630,290,32.0,10.0,0.0,15,1350,62.0,6.0,13.0,28.0,5.0
IMPOSSIBLE WhopperSandwich,Burgers,250,90,10.0,4.0,0.0,30,560,29.0,1.0,7.0,13.0,2.0
Cheeseburger,Burgers,290,120,13.0,6.0,0.0,40,780,30.0,1.0,7.0,15.0,2.0
Double Hamburger,Burgers,360,160,17.0,7.0,0.0,60,590,29.0,1.0,7.0,22.0,2.0
Double Cheeseburger,Burgers,400,190,21.0,9.0,0.0,70,810,30.0,1.0,7.0,24.0,9.0
Extra Long Cheeseburger,Burgers,640,340,37.0,13.0,0.5,90,1120,50.0,2.0,11.0,29.0,1.0
Bacon Cheeseburger,Burgers,340,150,16.0,7.0,0.0,45,940,30.0,1.0,7.0,18.0,2.0
Bacon Double Cheeseburger,Burgers,440,220,24.0,11.0,0.0,75,970,30.0,1.0,7.0,27.0,9.0
Hamburger,Burgers,250,90,10.0,4.0,0.0,30,560,29.0,1.0,7.0,13.0,2.0
Classic Royal Crispy Chicken-Sandwich,Chicken & More,600,280,31.0,5.0,0.0,80,1330,54.0,9.0,9.0,31.0,4.0
Spicy Royal Crispy Chicken-Sandwich,Chicken & More,760,420,47.0,8.0,0.0,80,1580,58.0,9.0,11.0,31.0,9.0
Bacon & Swiss Royal Crispy Chicken Sandwich,Chicken & More,740,390,43.0,11.0,0.0,110,1920,56.0,9.0,10.0,39.0,3.0
Original Chicken-Sandwich,Chicken & More,680,350,39.0,7.0,0.0,65,1380,63.0,3.0,7.0,23.0,2.0
Chicken Jr.,Chicken & More,440,240,27.0,5.0,0.0,40,700,39.0,2.0,5.0,13.0,7.0
Spicy Chicken Jr.,Chicken & More,380,170,19.0,3.5,0.0,30,680,42.0,2.0,6.0,12.0,7.0
Chicken Nuggets- 4pc,Chicken & More,190,110,12.0,2.5,0.0,30,490,12.0,0.5,0.0,9.0,5.0
Chicken Nuggets- 6pc,Chicken & More,290,170,19.0,3.5,0.0,40,730,18.0,1.0,0.0,13.0,1.0
Chicken Nuggets- 10pc,Chicken & More,480,280,31.0,6.0,0.0,70,1220,30.0,2.0,0.0,22.0,6.0
Chicken Nuggets- 20pc,Chicken & More,970,560,62.0,12.0,0.0,140,2440,60.0,5.0,0.0,45.0,0.0
Chicken Fries- 9 pc.,Chicken & More,260,120,13.0,3.0,0.0,35,780,20.0,1.0,0.0,15.0,1.0
Spicy Chicken Nuggets- 4pc,Chicken & More,210,130,15.0,3.0,0.0,20,570,11.0,2.0,0.0,8.0,5.0
Spicy Chicken Nuggets- 6pc,Chicken & More,320,200,22.0,4.5,0.0,35,850,17.0,3.0,0.0,12.0,1.0
Spicy Chicken Nuggets- 10 pc,Chicken & More,530,330,37.0,7.0,0.0,55,1420,28.0,4.0,1.0,20.0,6.0
Spicy Chicken Nuggets- 20 pc,Chicken & More,1050,670,74.0,15.0,0.0,110,2840,56.0,9.0,1.0,40.0,8.0
Crispy Taco,Chicken & More,170,80,9.0,3.0,0.0,10,410,19.0,2.0,1.0,5.0,5.0
BIG FISH Sandwich,Chicken & More,570,270,30.0,5.0,0.0,50,1270,58.0,3.0,8.0,19.0,2.0
HERSHEY'S Sundae Pie,Desserts,310,160,18.0,12.0,0.0,10,230,32.0,1.0,22.0,3.0,2.0
Soft Serve Cone,Desserts,200,45,5.0,3.5,0.0,20,150,33.0,0.0,22.0,5.0,8.0
Soft Serve Cup,Desserts,180,45,5.0,3.5,0.0,20,150,28.0,0.0,22.0,4.0,1.0
HERSHEY'S Chocolate Sundae,Desserts,260,45,5.0,3.5,0.0,20,150,49.0,1.0,41.0,5.0,4.0
OREOCookie Shake,Desserts,680,180,20.0,12.0,0.5,65,470,111.0,1.0,88.0,13.0,0.0
OREOCookie Chocolate Shake,Desserts,710,180,20.0,12.0,0.5,65,480,118.0,2.0,93.0,14.0,6.0
Vanilla Shake,Desserts,600,150,16.0,11.0,0.5,65,410,98.0,0.0,81.0,13.0,3.0
HERSHEY'S Chocolate Shake,Desserts,630,150,17.0,11.0,0.5,65,420,105.0,1.0,86.0,13.0,7.0
Chocolate Chip Cookies (each),Desserts,160,70,8.0,4.0,0.0,10,110,23.0,0.5,14.0,2.0,5.0
Chicken Garden Salad w/o dressing,Salads & Sides,550,260,29.0,9.0,0.0,85,1120,81.0,2.0,3.0,36.0,6.0
Chicken Club Salad w/o dressing,Salads & Sides,670,350,40.0,13.0,0.0,105,1610,82.0,2.0,3.0,45.0,1.0
Garden Side Salad w/o dressing,Salads & Sides,110,70,8.0,5.0,0.0,15,190,3.0,0.5,1.0,9.0,7.0
Ken's Golden Italian Dressing,Salads & Sides,190,180,20.0,3.0,0.0,0,450,4.0,0.0,4.0,0.0,3.0
Ken's Ranch Dressing,Salads & Sides,210,180,20.0,3.5,0.0,20,340,4.0,0.0,2.0,0.5,3.0
Ken's Lite Honey Balsamic Vinaigrette,Salads & Sides,120,70,8.0,1.0,0.0,0,210,13.0,0.0,12.0,0.0,4.0
Buttery Garlic Croutons- Packet,Salads & Sides,60,20,3.0,0.0,0.0,0,180,9.0,0.0,0.5,1.0,2.0
Onion Rings- value,Salads & Sides,200,80,9.0,1.5,0.0,0,370,27.0,3.0,3.0,3.0,5.0
Onion Rings- small,Salads & Sides,280,120,13.0,2.0,0.0,0,510,37.0,4.0,4.0,4.0,0.0
Onion Rings- medium,Salads & Sides,360,150,16.0,2.5,0.0,0,640,48.0,5.0,5.0,4.0,0.0
Onion Rings- large,Salads & Sides,520,220,24.0,4.0,0.0,0,950,70.0,7.0,7.0,7.0,9.0
French Fries- value*,Salads & Sides,230,90,10.0,1.0,0.0,0,170,33.0,2.0,0.5,3.0,5.0
French Fries- small*,Salads & Sides,300,110,13.0,2.0,0.0,0,220,43.0,3.0,1.0,4.0,5.0
French Fries- medium*,Salads & Sides,370,140,16.0,2.0,0.0,0,270,54.0,4.0,1.0,5.0,8.0
French Fries- large*,Salads & Sides,440,170,19.0,3.0,0.0,0,320,64.0,5.0,1.0,5.0,8.0
